level,age,goal,learning_style,time_available,vocab_score,grammar_score,listening_score,speaking_score,reading_score,writing_score,recommended_path,next_focus,top_3_recommendations
B1,31,Phỏng vấn,Ví dụ,13,46,60,69,60,67,69,General English,Nghe,Listening: Conversations; Reading: Short Stories; Reading: News Articles
A2,34,Giao tiếp,Đọc,15,59,41,36,54,48,35,Conversation intensive,Viết,Reading: Short Stories; Listening: Map Labelling; Speaking: Daily Routine
B1,29,Phỏng vấn,Nghe,9,62,70,72,71,58,47,Beginner path,Đọc,Grammar: Past Simple; Writing: Paragraph Structure; Reading: News Articles
A2,29,Phỏng vấn,Ví dụ,1,26,47,48,56,55,30,Beginner path,Viết,Grammar: Past Simple; Listening: Conversations; Listening: Map Labelling
C1,21,Giao tiếp,Đọc,15,79,73,100,99,89,63,Conversation intensive,Nghe,Listening: Conversations; Grammar: Present Perfect; Vocabulary: Work
A2,27,IELTS 6.5,App,12,38,53,43,43,48,38,IELTS prep,Đọc,Reading: News Articles; Reading: Short Stories; Vocabulary: Work
B2,31,IELTS 6.5,Nghe,13,84,81,72,76,63,69,Beginner path,Từ vựng,Grammar: Past Simple; Listening: Conversations; Speaking: Introductions
C1,25,Giao tiếp,App,3,69,91,86,100,88,68,Conversation intensive,Nghe,Grammar: Past Simple; Vocabulary: Travel; Reading: Short Stories
B2,31,IELTS 6.5,Đọc,9,77,90,76,78,72,89,General English,Ngữ pháp,Grammar: Past Simple; Speaking: Daily Routine; Reading: Short Stories
A1,35,Phỏng vấn,Đọc,6,10,26,21,36,49,17,Beginner path,Ngữ pháp,Listening: Map Labelling; Speaking: Daily Routine; Grammar: Past Simple
C1,30,Phỏng vấn,Đọc,7,79,95,86,68,95,90,Beginner path,Viết,Speaking: Daily Routine; Vocabulary: Work; Reading: Short Stories
C1,16,IELTS 6.5,Đọc,10,78,86,87,100,92,91,Beginner path,Nghe,Vocabulary: Work; Reading: News Articles; Grammar: Past Simple
B2,25,Giao tiếp,Ví dụ,15,76,76,78,62,79,72,Conversation intensive,Đọc,Listening: Map Labelling; Grammar: Present Perfect; Speaking: Daily Routine
C1,21,Phỏng vấn,Đọc,9,98,93,92,84,88,92,IELTS prep,Đọc,Reading: Short Stories; Listening: Map Labelling; Writing: Paragraph Structure
A1,22,Giao tiếp,App,10,54,33,51,34,30,43,Conversation intensive,Viết,Listening: Conversations; Speaking: Introductions; Reading: Short Stories
A2,21,Giao tiếp,Đọc,13,40,21,55,42,61,46,Conversation intensive,Ngữ pháp,Listening: Map Labelling; Reading: News Articles; Speaking: Daily Routine
B1,17,Giao tiếp,Đọc,5,70,67,60,53,61,55,IELTS prep,Viết,Listening: Conversations; Reading: Short Stories; Reading: News Articles
A1,33,IELTS 6.5,App,1,43,29,24,20,40,18,Conversation intensive,Nói,Speaking: Introductions; Reading: News Articles; Writing: Paragraph Structure
B2,25,IELTS 6.5,Ví dụ,7,59,73,68,64,62,70,Conversation intensive,Từ vựng,Grammar: Past Simple; Speaking: Introductions; Grammar: Present Perfect
B2,33,IELTS 6.5,App,9,66,89,82,73,80,76,IELTS prep,Viết,Writing: Paragraph Structure; Writing: Email Format; Vocabulary: Work
A2,18,Giao tiếp,Nghe,5,76,45,40,29,47,31,Beginner path,Nói,Grammar: Past Simple; Listening: Map Labelling; Writing: Email Format
C1,28,Phỏng vấn,Ví dụ,14,94,83,100,93,76,99,IELTS prep,Ngữ pháp,Vocabulary: Work; Speaking: Daily Routine; Grammar: Present Perfect
B2,32,Phỏng vấn,Ví dụ,8,77,85,51,75,80,69,Beginner path,Đọc,Grammar: Past Simple; Writing: Paragraph Structure; Grammar: Present Perfect
C1,28,IELTS 6.5,Nghe,12,79,93,70,87,83,85,Conversation intensive,Nói,Reading: Short Stories; Grammar: Present Perfect; Vocabulary: Work
B1,29,IELTS 6.5,Nghe,10,45,69,65,69,39,56,General English,Đọc,Writing: Email Format; Vocabulary: Work; Grammar: Past Simple
A2,28,Phỏng vấn,App,13,40,47,52,40,40,46,General English,Ngữ pháp,Speaking: Daily Routine; Speaking: Introductions; Grammar: Past Simple
C1,34,Giao tiếp,Nghe,15,96,97,94,86,58,100,IELTS prep,Nghe,Vocabulary: Travel; Listening: Map Labelling; Reading: News Articles
A2,20,IELTS 6.5,Nghe,8,30,40,36,52,54,52,Conversation intensive,Từ vựng,Vocabulary: Travel; Speaking: Introductions; Writing: Email Format
C1,24,IELTS 6.5,Đọc,10,79,87,93,96,86,74,IELTS prep,Đọc,Vocabulary: Work; Writing: Email Format; Listening: Conversations
B1,17,Giao tiếp,Ví dụ,5,69,49,58,64,68,58,Conversation intensive,Nói,Speaking: Introductions; Writing: Email Format; Vocabulary: Work
A1,17,Giao tiếp,Đọc,14,28,46,37,29,28,33,Conversation intensive,Viết,Grammar: Present Perfect; Writing: Paragraph Structure; Reading: News Articles
A1,25,IELTS 6.5,Nghe,11,22,48,30,44,20,46,Conversation intensive,Ngữ pháp,Vocabulary: Travel; Vocabulary: Work; Speaking: Introductions
B2,25,Phỏng vấn,App,3,70,91,77,85,73,85,Conversation intensive,Đọc,Writing: Email Format; Listening: Map Labelling; Writing: Paragraph Structure
B2,26,IELTS 6.5,Đọc,1,76,67,71,87,65,95,Beginner path,Nghe,Speaking: Daily Routine; Reading: Short Stories; Grammar: Present Perfect
A2,19,Phỏng vấn,Đọc,14,63,40,51,31,46,30,Beginner path,Viết,Listening: Conversations; Speaking: Daily Routine; Grammar: Present Perfect
C1,35,Phỏng vấn,App,2,100,76,86,88,93,87,Beginner path,Viết,Reading: Short Stories; Listening: Conversations; Grammar: Present Perfect
A2,21,Phỏng vấn,Đọc,15,53,54,43,41,35,39,Conversation intensive,Viết,Reading: News Articles; Grammar: Past Simple; Reading: Short Stories
B2,29,IELTS 6.5,Ví dụ,15,88,79,62,66,73,72,Conversation intensive,Viết,Vocabulary: Work; Grammar: Present Perfect; Listening: Map Labelling
A1,28,IELTS 6.5,Đọc,8,15,16,35,36,24,19,IELTS prep,Từ vựng,Speaking: Daily Routine; Writing: Email Format; Speaking: Introductions
A1,27,Phỏng vấn,Đọc,14,35,32,38,30,19,31,Conversation intensive,Nói,Writing: Email Format; Grammar: Present Perfect; Vocabulary: Work
B2,31,Giao tiếp,Nghe,9,87,82,100,91,84,77,Conversation intensive,Ngữ pháp,Writing: Paragraph Structure; Vocabulary: Travel; Listening: Conversations
B2,27,Giao tiếp,Nghe,3,59,84,77,78,81,74,IELTS prep,Từ vựng,Grammar: Present Perfect; Speaking: Daily Routine; Writing: Email Format
A1,34,Phỏng vấn,Đọc,6,21,31,31,34,9,16,Beginner path,Đọc,Grammar: Past Simple; Speaking: Daily Routine; Vocabulary: Work
B1,34,Phỏng vấn,Đọc,15,59,79,86,54,71,51,IELTS prep,Nói,Vocabulary: Work; Vocabulary: Travel; Listening: Conversations
C1,17,Giao tiếp,Nghe,6,77,94,96,100,97,100,General English,Nghe,Grammar: Past Simple; Grammar: Present Perfect; Listening: Map Labelling
A1,22,Phỏng vấn,Đọc,1,24,25,32,29,16,19,Beginner path,Từ vựng,Vocabulary: Work; Vocabulary: Travel; Grammar: Past Simple
C1,20,Phỏng vấn,Đọc,9,87,99,87,93,85,90,Conversation intensive,Đọc,Reading: Short Stories; Vocabulary: Travel; Listening: Conversations
C1,26,IELTS 6.5,Nghe,9,93,86,75,85,83,87,Conversation intensive,Từ vựng,Speaking: Daily Routine; Listening: Conversations; Grammar: Present Perfect
C1,17,IELTS 6.5,Đọc,2,98,76,74,74,99,79,IELTS prep,Từ vựng,Speaking: Introductions; Vocabulary: Work; Grammar: Present Perfect
B2,16,Phỏng vấn,Đọc,10,79,75,68,71,74,85,Beginner path,Viết,Grammar: Present Perfect; Vocabulary: Work; Grammar: Past Simple
A2,25,Phỏng vấn,Đọc,8,43,51,42,44,53,35,IELTS prep,Nói,Vocabulary: Travel; Listening: Map Labelling; Listening: Conversations
A2,20,Phỏng vấn,Ví dụ,3,32,37,42,40,40,45,General English,Nói,Reading: News Articles; Writing: Email Format; Speaking: Introductions
A2,23,Phỏng vấn,App,5,55,51,39,35,50,39,Beginner path,Đọc,Vocabulary: Work; Grammar: Past Simple; Grammar: Present Perfect
B2,28,Phỏng vấn,Ví dụ,10,78,78,69,83,68,71,Beginner path,Ngữ pháp,Listening: Map Labelling; Writing: Paragraph Structure; Speaking: Introductions
B2,26,Giao tiếp,Ví dụ,5,84,75,84,77,67,73,IELTS prep,Từ vựng,Speaking: Daily Routine; Writing: Paragraph Structure; Vocabulary: Work
A1,20,Phỏng vấn,App,7,19,23,37,27,5,29,IELTS prep,Từ vựng,Reading: Short Stories; Grammar: Past Simple; Speaking: Introductions
C1,25,Phỏng vấn,Nghe,12,83,94,90,96,98,69,Conversation intensive,Từ vựng,Speaking: Introductions; Reading: Short Stories; Vocabulary: Travel
B1,24,Phỏng vấn,App,7,47,72,65,62,49,65,Beginner path,Nghe,Grammar: Past Simple; Listening: Conversations; Vocabulary: Work
A2,24,Giao tiếp,Nghe,1,53,55,40,56,50,23,Conversation intensive,Từ vựng,Writing: Paragraph Structure; Listening: Conversations; Reading: Short Stories
A1,20,IELTS 6.5,App,10,35,30,25,21,14,34,Beginner path,Nói,Listening: Map Labelling; Speaking: Introductions; Speaking: Daily Routine
B1,33,Phỏng vấn,Đọc,9,50,62,50,45,62,52,Conversation intensive,Từ vựng,Writing: Paragraph Structure; Reading: Short Stories; Vocabulary: Work
B2,18,Giao tiếp,App,15,58,56,61,77,64,79,Conversation intensive,Viết,Speaking: Introductions; Writing: Email Format; Vocabulary: Work
A2,34,Giao tiếp,Nghe,14,51,52,46,35,51,66,Conversation intensive,Đọc,Speaking: Introductions; Reading: News Articles; Vocabulary: Travel
A1,25,Phỏng vấn,App,11,46,44,17,36,29,8,Beginner path,Nói,Writing: Paragraph Structure; Grammar: Past Simple; Listening: Map Labelling
A1,19,Giao tiếp,Nghe,2,35,35,34,28,21,25,General English,Ngữ pháp,Listening: Conversations; Vocabulary: Travel; Listening: Map Labelling
B2,24,Giao tiếp,Nghe,12,69,66,62,68,66,85,Conversation intensive,Đọc,Vocabulary: Work; Speaking: Daily Routine; Reading: News Articles
B1,17,Phỏng vấn,Ví dụ,15,67,55,56,62,60,41,Conversation intensive,Từ vựng,Reading: Short Stories; Writing: Email Format; Reading: News Articles
A2,19,Phỏng vấn,App,1,60,49,33,26,37,46,General English,Từ vựng,Vocabulary: Travel; Grammar: Present Perfect; Reading: Short Stories
A2,18,IELTS 6.5,Ví dụ,6,51,45,56,36,54,40,Beginner path,Nghe,Vocabulary: Work; Writing: Email Format; Speaking: Daily Routine
A2,16,Phỏng vấn,Nghe,8,45,51,64,40,55,31,Beginner path,Ngữ pháp,Listening: Map Labelling; Writing: Email Format; Vocabulary: Work
B2,35,Phỏng vấn,App,7,74,76,87,78,71,66,Conversation intensive,Ngữ pháp,Grammar: Present Perfect; Listening: Map Labelling; Writing: Paragraph Structure
B2,28,IELTS 6.5,Đọc,8,70,66,86,72,82,60,IELTS prep,Viết,Reading: News Articles; Grammar: Past Simple; Reading: Short Stories
A2,17,Giao tiếp,Ví dụ,11,47,43,39,44,55,36,Beginner path,Từ vựng,Reading: News Articles; Speaking: Daily Routine; Vocabulary: Work
A1,16,Phỏng vấn,Nghe,14,27,27,32,38,45,20,General English,Ngữ pháp,Speaking: Introductions; Vocabulary: Travel; Listening: Conversations
B1,20,Giao tiếp,Nghe,8,41,59,57,65,61,51,Beginner path,Từ vựng,Listening: Map Labelling; Reading: News Articles; Speaking: Introductions
B2,34,Phỏng vấn,Nghe,8,74,76,70,83,62,79,Conversation intensive,Viết,Grammar: Present Perfect; Vocabulary: Travel; Writing: Email Format
A2,23,Giao tiếp,Ví dụ,14,46,43,61,54,46,51,Beginner path,Nói,Vocabulary: Work; Grammar: Past Simple; Vocabulary: Travel
C1,17,IELTS 6.5,Ví dụ,13,85,83,79,92,82,100,Conversation intensive,Viết,Listening: Map Labelling; Grammar: Present Perfect; Speaking: Daily Routine
A1,18,Giao tiếp,Nghe,10,48,36,40,36,37,35,General English,Đọc,Grammar: Past Simple; Vocabulary: Travel; Listening: Conversations
C1,18,Giao tiếp,Nghe,11,98,83,81,78,89,100,Beginner path,Đọc,Vocabulary: Travel; Listening: Conversations; Writing: Paragraph Structure
C1,33,IELTS 6.5,Ví dụ,1,84,98,87,81,95,88,General English,Nói,Grammar: Past Simple; Reading: Short Stories; Listening: Map Labelling
A2,28,Giao tiếp,Ví dụ,12,27,39,41,48,59,43,Conversation intensive,Nói,Grammar: Past Simple; Speaking: Introductions; Vocabulary: Work
A1,26,IELTS 6.5,Nghe,13,15,15,32,24,35,25,General English,Đọc,Reading: News Articles; Writing: Email Format; Reading: Short Stories
B2,33,Phỏng vấn,Đọc,7,76,87,85,58,77,72,Beginner path,Nghe,Speaking: Daily Routine; Writing: Email Format; Vocabulary: Work
B1,26,Giao tiếp,Đọc,13,74,45,73,69,51,77,Beginner path,Nghe,Vocabulary: Travel; Writing: Email Format; Listening: Conversations
A1,18,Phỏng vấn,App,12,21,28,32,20,22,42,Conversation intensive,Đọc,Listening: Conversations; Reading: Short Stories; Listening: Map Labelling
A2,35,Phỏng vấn,App,8,41,57,54,41,52,39,Beginner path,Nói,Speaking: Daily Routine; Reading: Short Stories; Reading: News Articles
B1,25,Phỏng vấn,Đọc,4,51,59,43,46,58,48,General English,Đọc,Listening: Map Labelling; Listening: Conversations; Speaking: Daily Routine
A1,24,Phỏng vấn,Đọc,2,39,27,24,29,23,26,Beginner path,Đọc,Listening: Map Labelling; Reading: News Articles; Vocabulary: Work
B1,26,Giao tiếp,Đọc,15,48,41,60,62,58,47,Conversation intensive,Nghe,Writing: Email Format; Reading: News Articles; Vocabulary: Travel
B2,27,Phỏng vấn,App,14,75,87,67,76,66,65,Beginner path,Đọc,Writing: Email Format; Listening: Map Labelling; Listening: Conversations
B1,15,Phỏng vấn,Đọc,2,57,55,57,59,67,71,General English,Viết,Writing: Email Format; Vocabulary: Work; Speaking: Daily Routine
C1,28,IELTS 6.5,Nghe,8,78,100,84,92,100,94,Conversation intensive,Nói,Listening: Map Labelling; Reading: Short Stories; Grammar: Present Perfect
A1,23,Giao tiếp,App,3,32,16,27,36,26,41,IELTS prep,Viết,Grammar: Present Perfect; Vocabulary: Work; Reading: News Articles
A1,20,Phỏng vấn,Ví dụ,9,26,25,30,26,40,14,Conversation intensive,Nói,Reading: News Articles; Vocabulary: Work; Grammar: Present Perfect
C1,19,Giao tiếp,Ví dụ,7,84,100,100,95,87,76,General English,Ngữ pháp,Vocabulary: Travel; Grammar: Past Simple; Listening: Conversations
A2,17,Giao tiếp,Nghe,5,45,51,43,32,60,61,General English,Ngữ pháp,Speaking: Daily Routine; Grammar: Past Simple; Speaking: Introductions
A1,20,Giao tiếp,App,15,52,32,18,25,33,15,Beginner path,Đọc,Vocabulary: Travel; Listening: Map Labelling; Grammar: Past Simple
A1,26,IELTS 6.5,Nghe,4,23,19,44,25,39,25,Conversation intensive,Từ vựng,Listening: Conversations; Listening: Map Labelling; Vocabulary: Work
A2,27,Phỏng vấn,Đọc,6,37,51,43,54,58,50,General English,Nghe,Writing: Email Format; Grammar: Present Perfect; Vocabulary: Travel
B2,30,Phỏng vấn,App,14,69,83,73,95,67,70,Conversation intensive,Đọc,Writing: Email Format; Reading: Short Stories; Vocabulary: Work
A1,22,IELTS 6.5,Ví dụ,9,28,36,23,22,32,34,IELTS prep,Từ vựng,Grammar: Past Simple; Writing: Email Format; Reading: Short Stories
B1,19,IELTS 6.5,App,4,57,68,65,59,56,69,Beginner path,Viết,Listening: Map Labelling; Grammar: Present Perfect; Writing: Email Format
A1,21,Phỏng vấn,App,12,20,34,21,33,14,28,General English,Nghe,Vocabulary: Work; Grammar: Present Perfect; Reading: Short Stories
C1,27,Phỏng vấn,Đọc,2,83,100,82,78,81,97,IELTS prep,Viết,Reading: Short Stories; Grammar: Present Perfect; Writing: Email Format
B1,31,IELTS 6.5,Ví dụ,5,56,64,61,54,54,33,General English,Đọc,Listening: Conversations; Grammar: Past Simple; Speaking: Daily Routine
A1,35,IELTS 6.5,Đọc,9,25,31,32,37,38,27,General English,Viết,Speaking: Introductions; Vocabulary: Work; Listening: Conversations
A2,23,IELTS 6.5,Ví dụ,3,45,64,48,51,51,45,General English,Viết,Vocabulary: Travel; Listening: Map Labelling; Writing: Paragraph Structure
A1,30,Phỏng vấn,Đọc,6,21,24,45,36,19,19,Conversation intensive,Nói,Vocabulary: Work; Reading: Short Stories; Writing: Paragraph Structure
A2,24,Giao tiếp,Nghe,4,62,43,29,39,65,20,IELTS prep,Nghe,Vocabulary: Work; Reading: News Articles; Grammar: Present Perfect
C1,32,Phỏng vấn,Đọc,3,88,89,76,100,86,72,Beginner path,Viết,Vocabulary: Work; Grammar: Present Perfect; Reading: Short Stories
C1,33,IELTS 6.5,App,13,84,94,89,100,100,100,General English,Nói,Speaking: Daily Routine; Grammar: Past Simple; Vocabulary: Work
B1,25,IELTS 6.5,Nghe,8,57,51,54,59,52,65,IELTS prep,Từ vựng,Listening: Map Labelling; Vocabulary: Work; Reading: News Articles
A2,23,Phỏng vấn,Đọc,13,47,53,38,43,39,49,Conversation intensive,Viết,Speaking: Daily Routine; Reading: News Articles; Vocabulary: Travel
A2,33,Phỏng vấn,Đọc,4,57,47,36,56,56,53,IELTS prep,Đọc,Writing: Paragraph Structure; Speaking: Introductions; Speaking: Daily Routine
A2,31,IELTS 6.5,App,6,50,45,34,57,56,29,IELTS prep,Ngữ pháp,Vocabulary: Work; Grammar: Past Simple; Writing: Email Format
B2,30,Phỏng vấn,Đọc,1,80,65,84,70,57,90,Beginner path,Đọc,Speaking: Introductions; Listening: Map Labelling; Speaking: Daily Routine
A1,16,Giao tiếp,Nghe,13,28,21,33,20,10,20,IELTS prep,Viết,Reading: Short Stories; Listening: Conversations; Vocabulary: Work
A1,24,Phỏng vấn,Đọc,4,25,35,18,29,41,27,General English,Đọc,Listening: Conversations; Vocabulary: Travel; Reading: Short Stories
B1,21,Phỏng vấn,Ví dụ,4,46,61,60,49,63,56,General English,Nói,Speaking: Daily Routine; Vocabulary: Travel; Reading: News Articles
B1,24,Phỏng vấn,Nghe,12,53,46,67,60,60,60,Conversation intensive,Đọc,Listening: Conversations; Grammar: Past Simple; Writing: Paragraph Structure
B2,19,Giao tiếp,Đọc,1,83,82,53,75,68,74,General English,Ngữ pháp,Speaking: Daily Routine; Reading: News Articles; Vocabulary: Travel
A1,26,Giao tiếp,Ví dụ,7,44,5,26,35,32,30,Beginner path,Ngữ pháp,Vocabulary: Travel; Reading: News Articles; Grammar: Past Simple
B2,17,Phỏng vấn,App,8,58,83,70,77,90,76,Conversation intensive,Nói,Reading: Short Stories; Listening: Conversations; Vocabulary: Work
B1,31,Phỏng vấn,Ví dụ,11,66,50,61,63,69,64,Conversation intensive,Nghe,Speaking: Introductions; Grammar: Present Perfect; Writing: Email Format
A2,28,Giao tiếp,Nghe,5,53,40,49,27,42,56,General English,Từ vựng,Speaking: Introductions; Reading: Short Stories; Grammar: Present Perfect
B2,16,Phỏng vấn,Nghe,14,78,72,84,74,69,75,IELTS prep,Từ vựng,Vocabulary: Work; Speaking: Introductions; Vocabulary: Travel
A2,32,IELTS 6.5,Nghe,15,59,57,42,41,24,50,Conversation intensive,Đọc,Writing: Email Format; Grammar: Past Simple; Vocabulary: Work
A1,27,Giao tiếp,App,1,5,31,26,28,31,38,Beginner path,Ngữ pháp,Grammar: Present Perfect; Writing: Email Format; Vocabulary: Work
B2,27,Phỏng vấn,Ví dụ,13,58,97,87,80,77,61,General English,Nói,Writing: Email Format; Reading: Short Stories; Speaking: Introductions
A2,26,IELTS 6.5,Ví dụ,2,27,71,53,50,50,20,IELTS prep,Từ vựng,Listening: Map Labelling; Writing: Paragraph Structure; Listening: Conversations
A2,33,Giao tiếp,App,9,38,52,52,22,48,35,Beginner path,Ngữ pháp,Listening: Conversations; Writing: Email Format; Listening: Map Labelling
A2,30,Giao tiếp,App,8,46,55,44,44,40,64,General English,Nói,Listening: Conversations; Grammar: Present Perfect; Grammar: Past Simple
C1,35,Giao tiếp,Nghe,11,83,96,81,83,95,100,Beginner path,Nói,Grammar: Present Perfect; Grammar: Past Simple; Writing: Email Format
B1,26,Giao tiếp,Nghe,15,45,64,73,46,57,53,Conversation intensive,Nói,Listening: Conversations; Speaking: Daily Routine; Listening: Map Labelling
B2,19,Phỏng vấn,App,13,73,73,88,56,74,70,Conversation intensive,Đọc,Writing: Email Format; Speaking: Introductions; Listening: Conversations
B1,18,Phỏng vấn,App,13,59,62,52,35,51,75,IELTS prep,Đọc,Reading: Short Stories; Listening: Map Labelling; Grammar: Present Perfect
A2,34,Giao tiếp,Ví dụ,8,40,61,41,55,52,21,IELTS prep,Nghe,Writing: Paragraph Structure; Grammar: Present Perfect; Grammar: Past Simple
C1,19,Phỏng vấn,Đọc,14,74,91,92,95,88,87,General English,Từ vựng,Writing: Paragraph Structure; Speaking: Introductions; Reading: News Articles
A1,19,Giao tiếp,Nghe,8,51,28,32,30,16,38,IELTS prep,Nghe,Vocabulary: Travel; Reading: News Articles; Grammar: Present Perfect
A2,20,Giao tiếp,App,4,48,40,40,45,50,45,IELTS prep,Ngữ pháp,Grammar: Past Simple; Listening: Map Labelling; Speaking: Daily Routine
A1,26,Phỏng vấn,App,5,32,29,38,26,36,28,Beginner path,Nghe,Speaking: Introductions; Reading: News Articles; Speaking: Daily Routine
A2,25,IELTS 6.5,Ví dụ,14,36,46,42,51,28,41,General English,Nói,Listening: Conversations; Writing: Paragraph Structure; Vocabulary: Work
C1,23,IELTS 6.5,Nghe,13,82,72,86,85,96,97,Conversation intensive,Viết,Grammar: Present Perfect; Listening: Map Labelling; Writing: Email Format
C1,24,IELTS 6.5,App,10,80,92,96,89,81,84,Beginner path,Nói,Vocabulary: Travel; Grammar: Present Perfect; Writing: Paragraph Structure
B1,17,IELTS 6.5,App,7,49,43,63,55,50,55,IELTS prep,Nói,Grammar: Present Perfect; Writing: Email Format; Speaking: Daily Routine
C1,15,Giao tiếp,Nghe,8,96,78,91,76,97,100,General English,Ngữ pháp,Listening: Map Labelling; Reading: News Articles; Reading: Short Stories
B1,22,Phỏng vấn,Nghe,12,60,65,73,49,47,67,Beginner path,Nghe,Vocabulary: Travel; Reading: Short Stories; Grammar: Past Simple
B2,25,Phỏng vấn,Nghe,8,87,78,62,65,75,98,Beginner path,Đọc,Reading: News Articles; Listening: Conversations; Vocabulary: Work
B2,15,Phỏng vấn,Nghe,12,89,71,75,79,61,72,Conversation intensive,Từ vựng,Writing: Paragraph Structure; Writing: Email Format; Grammar: Present Perfect
A2,21,Phỏng vấn,Nghe,8,46,64,25,52,47,42,Conversation intensive,Nghe,Speaking: Daily Routine; Vocabulary: Travel; Listening: Map Labelling
B2,21,Giao tiếp,App,10,79,60,71,74,83,84,Beginner path,Đọc,Listening: Map Labelling; Vocabulary: Work; Grammar: Past Simple
B1,27,Phỏng vấn,Nghe,5,40,69,56,40,62,51,Conversation intensive,Ngữ pháp,Reading: News Articles; Grammar: Past Simple; Speaking: Introductions
B2,17,Phỏng vấn,Ví dụ,12,70,71,75,81,62,71,Beginner path,Nói,Speaking: Introductions; Speaking: Daily Routine; Listening: Map Labelling
C1,24,Phỏng vấn,App,3,78,70,81,79,100,100,General English,Ngữ pháp,Writing: Paragraph Structure; Writing: Email Format; Listening: Map Labelling
A1,33,IELTS 6.5,Ví dụ,15,23,17,34,26,29,19,Beginner path,Nghe,Grammar: Past Simple; Vocabulary: Work; Reading: News Articles
A2,35,IELTS 6.5,Nghe,9,45,41,39,26,58,52,IELTS prep,Đọc,Grammar: Past Simple; Speaking: Daily Routine; Vocabulary: Travel
A1,26,Phỏng vấn,Ví dụ,12,43,37,13,40,20,27,Beginner path,Đọc,Speaking: Daily Routine; Vocabulary: Travel; Writing: Email Format
B2,33,Phỏng vấn,App,2,70,100,74,77,84,78,Beginner path,Từ vựng,Listening: Map Labelling; Speaking: Daily Routine; Vocabulary: Work
A1,25,Giao tiếp,Ví dụ,14,10,45,24,1,25,19,Beginner path,Ngữ pháp,Grammar: Past Simple; Grammar: Present Perfect; Listening: Map Labelling
B1,19,Phỏng vấn,Nghe,9,56,54,61,50,56,75,General English,Viết,Grammar: Present Perfect; Listening: Conversations; Writing: Paragraph Structure
A2,24,Giao tiếp,App,15,27,44,52,38,48,40,IELTS prep,Nghe,Reading: Short Stories; Vocabulary: Work; Writing: Paragraph Structure
B1,15,Phỏng vấn,Ví dụ,5,63,71,55,62,62,66,Conversation intensive,Viết,Writing: Email Format; Listening: Map Labelling; Reading: News Articles
B1,22,Giao tiếp,Ví dụ,14,61,63,64,63,66,59,Conversation intensive,Ngữ pháp,Writing: Paragraph Structure; Reading: Short Stories; Vocabulary: Travel
B2,26,IELTS 6.5,App,15,61,74,85,71,81,61,General English,Viết,Grammar: Past Simple; Listening: Map Labelling; Vocabulary: Work
B1,29,Phỏng vấn,Nghe,9,59,43,65,81,59,78,General English,Nói,Speaking: Daily Routine; Vocabulary: Travel; Speaking: Introductions
B1,23,Giao tiếp,Đọc,13,40,66,73,72,77,62,Conversation intensive,Đọc,Vocabulary: Travel; Speaking: Daily Routine; Writing: Email Format
A1,20,Giao tiếp,Nghe,12,38,66,32,11,39,16,Conversation intensive,Đọc,Grammar: Present Perfect; Speaking: Introductions; Grammar: Past Simple
A2,28,Giao tiếp,Đọc,14,36,32,61,48,46,33,Conversation intensive,Ngữ pháp,Speaking: Daily Routine; Grammar: Present Perfect; Writing: Paragraph Structure
A2,24,Phỏng vấn,Nghe,12,32,69,45,40,30,36,Conversation intensive,Ngữ pháp,Grammar: Present Perfect; Speaking: Daily Routine; Grammar: Past Simple
A1,30,Giao tiếp,App,9,30,18,36,21,37,0,Conversation intensive,Đọc,Writing: Email Format; Grammar: Past Simple; Grammar: Present Perfect
C1,26,Phỏng vấn,Đọc,5,81,80,100,85,83,90,Beginner path,Đọc,Reading: News Articles; Speaking: Introductions; Vocabulary: Work
A2,17,Giao tiếp,Ví dụ,2,48,50,51,80,63,34,IELTS prep,Ngữ pháp,Grammar: Past Simple; Grammar: Present Perfect; Listening: Map Labelling
A1,24,Giao tiếp,Đọc,15,30,33,34,27,21,31,Conversation intensive,Từ vựng,Vocabulary: Travel; Listening: Conversations; Grammar: Past Simple
A2,23,IELTS 6.5,Đọc,6,35,83,49,48,41,32,IELTS prep,Ngữ pháp,Vocabulary: Work; Reading: Short Stories; Vocabulary: Travel
