level,age,goal,learning_style,time_available,vocab_score,grammar_score,listening_score,speaking_score,reading_score,writing_score,recommended_path,next_focus,top_3_recommendations
B2,33,Giao tiếp,Nghe,7,67,76,68,57,74,74,General English,Từ vựng,Grammar: Past Simple; Grammar: Present Perfect; Speaking: Introductions
C1,21,Phỏng vấn,Nghe,9,74,92,90,94,81,75,Beginner path,Đọc,Grammar: Present Perfect; Writing: Email Format; Listening: Map Labelling
A2,30,IELTS 6.5,Đọc,13,29,44,22,51,40,43,IELTS prep,Đọc,Grammar: Past Simple; Writing: Email Format; Vocabulary: Work
A2,15,Phỏng vấn,App,15,49,45,23,34,43,50,IELTS prep,Viết,Writing: Paragraph Structure; Listening: Map Labelling; Grammar: Past Simple
B1,23,Giao tiếp,App,11,38,67,56,67,49,56,IELTS prep,Đọc,Vocabulary: Work; Grammar: Present Perfect; Listening: Conversations
B1,34,Giao tiếp,Đọc,10,53,60,64,67,65,70,Conversation intensive,Đọc,Writing: Paragraph Structure; Writing: Email Format; Listening: Conversations
C1,19,IELTS 6.5,Ví dụ,14,97,98,84,93,82,98,IELTS prep,Nghe,Listening: Conversations; Reading: News Articles; Listening: Map Labelling
A2,24,Giao tiếp,App,10,44,43,56,54,34,49,Beginner path,Ngữ pháp,Grammar: Present Perfect; Speaking: Daily Routine; Grammar: Past Simple
A2,33,Giao tiếp,Nghe,5,47,55,55,33,72,53,IELTS prep,Ngữ pháp,Writing: Email Format; Speaking: Daily Routine; Grammar: Present Perfect
B2,29,Phỏng vấn,Nghe,2,88,85,78,52,55,63,General English,Đọc,Reading: Short Stories; Writing: Email Format; Speaking: Daily Routine
B2,34,Phỏng vấn,Đọc,12,69,68,90,84,59,78,General English,Ngữ pháp,Vocabulary: Work; Speaking: Introductions; Grammar: Present Perfect
B2,15,Phỏng vấn,Nghe,9,73,69,77,67,81,76,Conversation intensive,Ngữ pháp,Listening: Conversations; Listening: Map Labelling; Vocabulary: Travel
B1,16,IELTS 6.5,App,13,61,67,64,49,61,60,IELTS prep,Nói,Listening: Conversations; Listening: Map Labelling; Reading: Short Stories
B1,21,IELTS 6.5,Đọc,15,52,64,64,66,58,54,Beginner path,Đọc,Grammar: Present Perfect; Listening: Map Labelling; Writing: Email Format
B1,34,IELTS 6.5,App,11,63,45,60,66,51,61,Conversation intensive,Viết,Grammar: Past Simple; Writing: Paragraph Structure; Listening: Map Labelling
B1,21,Phỏng vấn,Nghe,12,52,39,47,65,51,68,General English,Ngữ pháp,Vocabulary: Travel; Listening: Map Labelling; Reading: News Articles
A1,24,Giao tiếp,Ví dụ,13,37,24,22,34,21,45,General English,Từ vựng,Grammar: Present Perfect; Reading: News Articles; Vocabulary: Travel
C1,18,Phỏng vấn,Đọc,11,95,80,74,95,92,85,Beginner path,Ngữ pháp,Reading: Short Stories; Reading: News Articles; Listening: Map Labelling
B2,16,Giao tiếp,Ví dụ,14,71,82,75,65,68,67,General English,Đọc,Speaking: Introductions; Listening: Conversations; Writing: Paragraph Structure
A2,30,Phỏng vấn,Nghe,4,31,42,46,50,32,59,Conversation intensive,Đọc,Vocabulary: Travel; Speaking: Daily Routine; Reading: Short Stories
C1,30,IELTS 6.5,App,10,89,99,89,97,87,100,Beginner path,Đọc,Reading: Short Stories; Grammar: Present Perfect; Reading: News Articles
B1,25,IELTS 6.5,Đọc,14,57,67,57,46,56,50,General English,Ngữ pháp,Speaking: Daily Routine; Speaking: Introductions; Listening: Map Labelling
C1,33,IELTS 6.5,Ví dụ,15,77,81,93,83,95,96,Beginner path,Nói,Reading: Short Stories; Vocabulary: Work; Listening: Conversations
B1,31,Phỏng vấn,Đọc,9,52,60,63,56,62,53,Conversation intensive,Nói,Reading: Short Stories; Writing: Paragraph Structure; Speaking: Daily Routine
A1,16,Phỏng vấn,Ví dụ,7,45,29,32,43,41,30,General English,Viết,Grammar: Past Simple; Grammar: Present Perfect; Listening: Conversations
C1,24,Phỏng vấn,Ví dụ,2,68,91,73,84,89,97,General English,Ngữ pháp,Listening: Map Labelling; Vocabulary: Work; Writing: Email Format
C1,34,Phỏng vấn,Đọc,1,100,100,96,68,100,87,Beginner path,Nghe,Listening: Conversations; Vocabulary: Work; Speaking: Daily Routine
B1,30,IELTS 6.5,Nghe,8,54,54,67,61,34,39,General English,Từ vựng,Grammar: Past Simple; Reading: News Articles; Speaking: Introductions
A1,24,Phỏng vấn,Nghe,14,57,19,46,27,36,16,General English,Đọc,Speaking: Daily Routine; Listening: Conversations; Writing: Paragraph Structure
A1,34,Giao tiếp,Đọc,14,42,31,33,44,28,44,General English,Viết,Reading: Short Stories; Vocabulary: Work; Grammar: Past Simple
A2,26,IELTS 6.5,Nghe,14,49,30,57,59,66,36,Conversation intensive,Viết,Listening: Conversations; Grammar: Past Simple; Grammar: Present Perfect
A2,34,Giao tiếp,Nghe,6,36,29,30,51,52,37,Beginner path,Ngữ pháp,Listening: Conversations; Writing: Paragraph Structure; Grammar: Present Perfect
A1,35,Giao tiếp,Đọc,10,17,23,24,23,32,20,Conversation intensive,Viết,Speaking: Daily Routine; Speaking: Introductions; Grammar: Present Perfect
B2,15,Phỏng vấn,Ví dụ,6,89,61,79,86,76,78,Conversation intensive,Từ vựng,Listening: Conversations; Writing: Paragraph Structure; Grammar: Past Simple
B2,26,Giao tiếp,Ví dụ,14,76,77,83,87,68,88,Beginner path,Nghe,Writing: Paragraph Structure; Speaking: Introductions; Vocabulary: Work
C1,25,Phỏng vấn,Ví dụ,5,91,95,80,94,95,89,IELTS prep,Từ vựng,Grammar: Past Simple; Writing: Paragraph Structure; Writing: Email Format
A2,17,Giao tiếp,Nghe,4,60,45,39,47,50,39,IELTS prep,Đọc,Speaking: Daily Routine; Speaking: Introductions; Reading: News Articles
B1,28,Phỏng vấn,Đọc,7,75,54,47,56,68,63,Conversation intensive,Nói,Grammar: Present Perfect; Speaking: Daily Routine; Listening: Conversations
B2,15,Giao tiếp,Nghe,9,80,70,86,74,81,63,IELTS prep,Viết,Speaking: Daily Routine; Reading: News Articles; Vocabulary: Travel
B2,28,Phỏng vấn,App,2,79,89,61,78,84,62,Beginner path,Từ vựng,Speaking: Introductions; Listening: Map Labelling; Writing: Paragraph Structure
B1,16,Giao tiếp,Nghe,14,60,72,60,53,58,61,Conversation intensive,Từ vựng,Speaking: Daily Routine; Reading: Short Stories; Writing: Email Format
B1,24,Phỏng vấn,Đọc,14,56,39,66,67,69,64,Conversation intensive,Từ vựng,Listening: Conversations; Listening: Map Labelling; Vocabulary: Travel
C1,19,Phỏng vấn,Nghe,5,100,85,76,92,100,94,Conversation intensive,Đọc,Grammar: Present Perfect; Speaking: Introductions; Listening: Map Labelling
A1,17,Giao tiếp,Nghe,11,16,24,37,38,39,24,Conversation intensive,Nói,Speaking: Daily Routine; Writing: Paragraph Structure; Vocabulary: Travel
B1,20,Giao tiếp,App,15,61,62,53,73,51,58,Beginner path,Nói,Vocabulary: Travel; Grammar: Present Perfect; Writing: Email Format
B2,23,Phỏng vấn,Đọc,8,77,67,78,72,73,56,Conversation intensive,Nghe,Speaking: Introductions; Grammar: Past Simple; Vocabulary: Travel
A1,28,Phỏng vấn,Ví dụ,10,7,26,31,23,22,31,Conversation intensive,Nghe,Vocabulary: Work; Vocabulary: Travel; Writing: Paragraph Structure
A1,23,IELTS 6.5,App,5,40,22,25,13,43,25,General English,Nghe,Vocabulary: Work; Speaking: Daily Routine; Reading: News Articles
A1,22,Giao tiếp,Nghe,5,27,32,14,27,25,20,General English,Nghe,Writing: Paragraph Structure; Grammar: Past Simple; Vocabulary: Travel
A2,25,Phỏng vấn,App,1,63,40,58,52,47,40,IELTS prep,Viết,Reading: Short Stories; Vocabulary: Travel; Writing: Email Format
C1,18,IELTS 6.5,Đọc,3,83,100,97,90,87,92,General English,Đọc,Listening: Conversations; Vocabulary: Work; Listening: Map Labelling
B1,18,Giao tiếp,Ví dụ,4,66,62,74,69,75,37,General English,Nghe,Writing: Paragraph Structure; Vocabulary: Work; Speaking: Introductions
B1,23,IELTS 6.5,App,1,61,68,53,55,64,48,Beginner path,Đọc,Speaking: Daily Routine; Writing: Email Format; Listening: Map Labelling
B1,33,Phỏng vấn,Đọc,15,58,47,58,69,48,36,IELTS prep,Viết,Speaking: Introductions; Speaking: Daily Routine; Reading: Short Stories
B2,29,IELTS 6.5,Nghe,12,63,84,79,76,82,77,General English,Viết,Vocabulary: Work; Writing: Email Format; Vocabulary: Travel
C1,27,Phỏng vấn,Ví dụ,11,94,87,100,77,83,100,General English,Đọc,Speaking: Introductions; Listening: Map Labelling; Writing: Paragraph Structure
A1,17,Phỏng vấn,Đọc,10,32,24,40,38,37,10,Beginner path,Ngữ pháp,Grammar: Past Simple; Grammar: Present Perfect; Writing: Paragraph Structure
B1,22,IELTS 6.5,Nghe,4,63,56,63,77,58,58,IELTS prep,Nghe,Writing: Email Format; Listening: Map Labelling; Speaking: Introductions
A2,15,IELTS 6.5,App,9,38,34,32,31,43,42,IELTS prep,Nghe,Listening: Map Labelling; Grammar: Past Simple; Speaking: Daily Routine
B1,15,Phỏng vấn,App,3,48,60,64,67,50,62,Conversation intensive,Nói,Writing: Email Format; Listening: Map Labelling; Listening: Conversations
A2,28,Phỏng vấn,App,3,48,24,39,23,60,47,Beginner path,Ngữ pháp,Speaking: Introductions; Speaking: Daily Routine; Listening: Map Labelling
B1,30,Giao tiếp,Đọc,2,60,41,76,60,51,57,IELTS prep,Nói,Grammar: Present Perfect; Speaking: Introductions; Listening: Map Labelling
B2,25,Phỏng vấn,App,15,72,75,89,95,90,65,Beginner path,Nghe,Reading: News Articles; Grammar: Past Simple; Listening: Map Labelling
B1,26,Giao tiếp,Nghe,4,66,57,43,66,44,51,General English,Nói,Writing: Paragraph Structure; Reading: News Articles; Vocabulary: Travel
B1,15,Giao tiếp,Đọc,9,41,54,52,58,51,58,Beginner path,Từ vựng,Reading: Short Stories; Vocabulary: Travel; Grammar: Past Simple
A2,22,Phỏng vấn,Ví dụ,7,42,48,48,37,43,44,General English,Nói,Vocabulary: Work; Reading: Short Stories; Listening: Map Labelling
A1,20,IELTS 6.5,Ví dụ,10,28,34,25,46,41,19,IELTS prep,Đọc,Vocabulary: Travel; Writing: Email Format; Grammar: Present Perfect
B1,24,Phỏng vấn,Ví dụ,2,54,60,43,58,69,67,IELTS prep,Viết,Reading: News Articles; Speaking: Daily Routine; Writing: Email Format
B1,15,Giao tiếp,App,5,77,58,77,61,65,53,Beginner path,Viết,Speaking: Introductions; Reading: News Articles; Writing: Paragraph Structure
A1,22,IELTS 6.5,Đọc,7,41,29,46,26,34,37,Conversation intensive,Đọc,Grammar: Past Simple; Vocabulary: Travel; Listening: Conversations
B1,21,Giao tiếp,App,3,55,57,65,57,69,53,Beginner path,Ngữ pháp,Speaking: Daily Routine; Writing: Email Format; Reading: News Articles
B1,20,Giao tiếp,App,8,64,60,67,68,53,64,IELTS prep,Từ vựng,Vocabulary: Travel; Writing: Paragraph Structure; Writing: Email Format
B1,27,Phỏng vấn,Nghe,12,76,59,58,67,60,68,General English,Từ vựng,Reading: Short Stories; Writing: Paragraph Structure; Listening: Map Labelling
B1,34,Giao tiếp,Ví dụ,1,68,60,71,51,73,49,Beginner path,Viết,Speaking: Introductions; Vocabulary: Travel; Grammar: Present Perfect
A1,22,Giao tiếp,App,11,24,15,28,33,23,29,Conversation intensive,Từ vựng,Vocabulary: Work; Reading: News Articles; Listening: Conversations
A2,16,Giao tiếp,App,6,49,45,19,41,43,50,Beginner path,Ngữ pháp,Reading: News Articles; Vocabulary: Work; Grammar: Present Perfect
A2,20,Giao tiếp,App,3,45,53,35,57,51,48,IELTS prep,Ngữ pháp,Reading: News Articles; Grammar: Past Simple; Vocabulary: Travel
B1,21,Phỏng vấn,App,14,61,72,67,54,62,50,Conversation intensive,Từ vựng,Reading: Short Stories; Vocabulary: Travel; Grammar: Past Simple
A1,21,Phỏng vấn,App,1,29,32,21,14,10,24,IELTS prep,Từ vựng,Vocabulary: Travel; Writing: Email Format; Grammar: Past Simple
A1,25,Phỏng vấn,Đọc,15,36,10,14,12,24,44,Conversation intensive,Nghe,Reading: News Articles; Writing: Email Format; Speaking: Introductions
B1,27,IELTS 6.5,Đọc,3,56,69,53,65,76,60,Conversation intensive,Nói,Speaking: Daily Routine; Reading: Short Stories; Writing: Paragraph Structure
C1,25,Phỏng vấn,Nghe,5,82,100,91,80,95,95,Beginner path,Viết,Writing: Email Format; Writing: Paragraph Structure; Reading: News Articles
C1,32,Giao tiếp,Đọc,7,84,100,77,80,94,93,Conversation intensive,Nghe,Listening: Conversations; Writing: Email Format; Vocabulary: Travel
B2,26,Phỏng vấn,Ví dụ,10,89,83,65,78,85,51,IELTS prep,Đọc,Listening: Map Labelling; Grammar: Present Perfect; Reading: News Articles
A1,32,IELTS 6.5,Ví dụ,7,34,51,29,45,25,26,Beginner path,Ngữ pháp,Writing: Email Format; Listening: Map Labelling; Grammar: Present Perfect
C1,19,Giao tiếp,Ví dụ,13,86,89,92,84,88,80,Conversation intensive,Nghe,Grammar: Present Perfect; Reading: Short Stories; Speaking: Introductions
A1,17,IELTS 6.5,Ví dụ,14,30,20,14,37,27,28,General English,Nói,Reading: Short Stories; Speaking: Daily Routine; Vocabulary: Travel
B2,17,Giao tiếp,Ví dụ,8,77,85,87,69,69,79,IELTS prep,Nói,Listening: Conversations; Grammar: Present Perfect; Writing: Paragraph Structure
A1,25,Phỏng vấn,App,3,47,29,23,23,30,29,Conversation intensive,Ngữ pháp,Reading: Short Stories; Writing: Email Format; Grammar: Present Perfect
C1,15,IELTS 6.5,Ví dụ,7,73,100,91,91,87,93,Beginner path,Từ vựng,Writing: Email Format; Listening: Map Labelling; Speaking: Introductions
A1,33,IELTS 6.5,Ví dụ,7,24,31,37,55,17,25,Conversation intensive,Từ vựng,Speaking: Daily Routine; Grammar: Past Simple; Vocabulary: Travel
A2,32,IELTS 6.5,Đọc,10,66,28,39,43,44,37,IELTS prep,Nói,Reading: Short Stories; Listening: Conversations; Speaking: Daily Routine
B2,20,Giao tiếp,App,9,56,63,87,65,84,76,Beginner path,Nghe,Reading: News Articles; Listening: Map Labelling; Speaking: Introductions
B1,28,Phỏng vấn,App,5,51,59,75,59,57,63,Beginner path,Nói,Vocabulary: Travel; Listening: Map Labelling; Speaking: Introductions
A2,26,IELTS 6.5,App,3,37,56,42,54,53,48,General English,Viết,Listening: Map Labelling; Speaking: Daily Routine; Grammar: Present Perfect
B1,34,IELTS 6.5,App,5,60,66,43,48,60,49,Conversation intensive,Viết,Grammar: Past Simple; Reading: Short Stories; Listening: Conversations
A2,29,Giao tiếp,App,14,49,61,53,36,29,46,IELTS prep,Viết,Writing: Paragraph Structure; Writing: Email Format; Vocabulary: Travel
A2,33,Giao tiếp,Nghe,13,54,58,32,32,50,35,Conversation intensive,Đọc,Vocabulary: Travel; Writing: Paragraph Structure; Reading: Short Stories
C1,17,IELTS 6.5,Nghe,12,88,100,88,100,71,100,Beginner path,Ngữ pháp,Writing: Email Format; Reading: Short Stories; Speaking: Daily Routine
B2,19,IELTS 6.5,Ví dụ,13,84,87,74,61,83,87,Conversation intensive,Nói,Vocabulary: Work; Speaking: Daily Routine; Listening: Conversations
A2,22,IELTS 6.5,Đọc,7,38,37,42,41,42,36,Beginner path,Viết,Writing: Paragraph Structure; Speaking: Introductions; Speaking: Daily Routine
A2,26,IELTS 6.5,App,12,30,61,50,60,42,55,General English,Đọc,Grammar: Past Simple; Reading: Short Stories; Listening: Conversations
B1,32,Phỏng vấn,Đọc,5,61,55,62,58,68,62,General English,Từ vựng,Speaking: Introductions; Reading: News Articles; Grammar: Present Perfect
A2,35,Giao tiếp,Nghe,7,40,64,59,41,44,51,IELTS prep,Ngữ pháp,Reading: News Articles; Grammar: Present Perfect; Writing: Paragraph Structure
B1,23,Giao tiếp,Đọc,14,67,61,59,50,51,60,General English,Viết,Vocabulary: Work; Reading: Short Stories; Listening: Map Labelling
A2,33,IELTS 6.5,App,10,45,29,51,34,48,43,Conversation intensive,Nói,Listening: Map Labelling; Listening: Conversations; Vocabulary: Work
A2,19,Phỏng vấn,App,7,42,6,42,30,59,39,General English,Từ vựng,Speaking: Daily Routine; Listening: Conversations; Writing: Paragraph Structure
B1,19,Giao tiếp,App,6,51,63,65,51,70,64,Conversation intensive,Ngữ pháp,Listening: Map Labelling; Listening: Conversations; Grammar: Present Perfect
B2,18,Phỏng vấn,App,8,91,98,73,67,61,94,IELTS prep,Nói,Reading: News Articles; Listening: Conversations; Reading: Short Stories
A1,23,IELTS 6.5,Ví dụ,2,36,38,57,27,13,51,IELTS prep,Viết,Reading: Short Stories; Grammar: Present Perfect; Listening: Conversations
B2,27,Phỏng vấn,Đọc,5,69,78,81,70,74,73,Conversation intensive,Nói,Reading: Short Stories; Speaking: Introductions; Reading: News Articles
B2,19,IELTS 6.5,Đọc,6,53,61,69,84,81,89,IELTS prep,Nghe,Vocabulary: Travel; Vocabulary: Work; Writing: Email Format
C1,24,IELTS 6.5,Nghe,4,93,100,100,86,97,90,Beginner path,Đọc,Speaking: Introductions; Speaking: Daily Routine; Grammar: Past Simple
B2,19,IELTS 6.5,Đọc,11,92,66,60,78,56,75,Conversation intensive,Nói,Reading: Short Stories; Reading: News Articles; Speaking: Daily Routine
A1,20,Phỏng vấn,Đọc,15,24,43,34,14,25,46,Beginner path,Nghe,Speaking: Introductions; Reading: News Articles; Listening: Conversations
A1,33,Phỏng vấn,Ví dụ,8,32,34,0,26,6,26,General English,Nghe,Speaking: Daily Routine; Grammar: Present Perfect; Writing: Paragraph Structure
B1,24,Phỏng vấn,Nghe,11,63,67,58,50,57,68,General English,Đọc,Speaking: Daily Routine; Grammar: Past Simple; Vocabulary: Travel
C1,35,Giao tiếp,Ví dụ,11,96,87,74,87,82,78,IELTS prep,Nghe,Speaking: Daily Routine; Grammar: Present Perfect; Reading: News Articles
B2,18,Giao tiếp,Đọc,1,71,67,82,78,78,80,Beginner path,Nói,Grammar: Past Simple; Vocabulary: Travel; Speaking: Introductions
A1,34,IELTS 6.5,Đọc,13,27,17,38,20,30,27,IELTS prep,Đọc,Vocabulary: Travel; Speaking: Daily Routine; Writing: Email Format
A2,35,IELTS 6.5,Nghe,6,40,54,42,19,28,60,General English,Từ vựng,Grammar: Past Simple; Reading: News Articles; Vocabulary: Work
C1,16,Phỏng vấn,Nghe,14,82,95,91,95,92,85,IELTS prep,Nghe,Listening: Conversations; Speaking: Introductions; Writing: Paragraph Structure
A1,18,Giao tiếp,App,5,19,37,22,31,42,35,General English,Đọc,Listening: Conversations; Vocabulary: Work; Vocabulary: Travel
C1,28,Phỏng vấn,App,13,84,90,91,92,64,93,General English,Từ vựng,Vocabulary: Travel; Grammar: Present Perfect; Listening: Conversations
C1,29,Giao tiếp,Ví dụ,9,80,89,82,85,82,99,IELTS prep,Đọc,Reading: News Articles; Speaking: Daily Routine; Speaking: Introductions
C1,21,Giao tiếp,Ví dụ,12,91,94,88,89,95,77,IELTS prep,Nói,Grammar: Past Simple; Reading: News Articles; Speaking: Introductions
B1,31,Phỏng vấn,App,13,53,64,44,64,62,63,Conversation intensive,Từ vựng,Vocabulary: Travel; Listening: Map Labelling; Writing: Email Format
A2,34,IELTS 6.5,Ví dụ,9,44,29,40,43,48,51,Beginner path,Ngữ pháp,Reading: News Articles; Speaking: Daily Routine; Writing: Paragraph Structure
C1,33,IELTS 6.5,Nghe,7,80,84,89,90,100,99,Beginner path,Nghe,Listening: Map Labelling; Vocabulary: Work; Writing: Email Format
B1,35,IELTS 6.5,App,1,68,70,70,54,60,40,IELTS prep,Nói,Speaking: Daily Routine; Grammar: Past Simple; Listening: Map Labelling
A1,33,IELTS 6.5,Đọc,1,31,36,46,36,29,15,General English,Viết,Speaking: Introductions; Writing: Email Format; Speaking: Daily Routine
C1,31,Giao tiếp,App,14,91,90,96,78,82,89,IELTS prep,Nghe,Listening: Conversations; Reading: Short Stories; Speaking: Introductions
B2,16,Giao tiếp,App,1,87,79,70,87,80,69,IELTS prep,Nói,Speaking: Introductions; Writing: Paragraph Structure; Listening: Map Labelling
A2,28,Phỏng vấn,Nghe,10,54,52,49,48,43,35,Beginner path,Nghe,Speaking: Daily Routine; Listening: Conversations; Grammar: Past Simple
A2,26,Giao tiếp,Đọc,14,49,63,30,53,25,35,Conversation intensive,Đọc,Grammar: Past Simple; Grammar: Present Perfect; Vocabulary: Work
B2,17,Phỏng vấn,Ví dụ,11,67,76,79,82,84,80,Beginner path,Ngữ pháp,Writing: Paragraph Structure; Speaking: Introductions; Listening: Conversations
B2,25,Phỏng vấn,App,13,79,62,70,63,88,60,Beginner path,Nói,Grammar: Present Perfect; Writing: Paragraph Structure; Speaking: Introductions
A2,32,Giao tiếp,Ví dụ,3,48,55,66,41,37,55,IELTS prep,Nghe,Listening: Conversations; Reading: News Articles; Writing: Email Format
C1,34,Phỏng vấn,Đọc,2,86,100,96,99,94,79,Beginner path,Viết,Speaking: Daily Routine; Reading: Short Stories; Speaking: Introductions
A2,22,IELTS 6.5,Nghe,7,56,51,49,30,37,35,Beginner path,Từ vựng,Writing: Paragraph Structure; Vocabulary: Work; Writing: Email Format
A2,27,IELTS 6.5,Nghe,4,40,51,41,57,52,42,Conversation intensive,Nói,Reading: Short Stories; Speaking: Introductions; Writing: Email Format
B1,23,IELTS 6.5,App,8,71,59,77,68,64,61,Conversation intensive,Ngữ pháp,Speaking: Introductions; Grammar: Past Simple; Listening: Map Labelling
B2,22,Giao tiếp,Đọc,9,78,74,74,65,85,65,General English,Ngữ pháp,Writing: Paragraph Structure; Writing: Email Format; Speaking: Introductions
C1,34,Phỏng vấn,Nghe,13,100,89,83,76,80,95,IELTS prep,Viết,Listening: Map Labelling; Listening: Conversations; Vocabulary: Work
A2,17,Giao tiếp,Đọc,14,48,37,41,37,28,39,General English,Ngữ pháp,Grammar: Past Simple; Listening: Conversations; Reading: News Articles
A1,22,Phỏng vấn,Nghe,6,26,11,33,33,35,27,Conversation intensive,Đọc,Grammar: Present Perfect; Reading: Short Stories; Writing: Paragraph Structure
C1,25,Phỏng vấn,App,14,80,84,83,99,100,83,IELTS prep,Ngữ pháp,Writing: Paragraph Structure; Listening: Map Labelling; Reading: News Articles
B2,18,Phỏng vấn,Đọc,9,100,69,53,73,60,63,IELTS prep,Nghe,Grammar: Past Simple; Listening: Conversations; Reading: News Articles
B1,27,IELTS 6.5,Nghe,12,65,85,55,50,48,78,General English,Đọc,Grammar: Present Perfect; Reading: Short Stories; Listening: Map Labelling
A1,19,IELTS 6.5,Đọc,14,28,19,13,51,6,25,Conversation intensive,Nghe,Grammar: Present Perfect; Listening: Map Labelling; Vocabulary: Travel
A2,29,IELTS 6.5,Đọc,2,19,63,37,62,48,48,Conversation intensive,Đọc,Vocabulary: Travel; Writing: Email Format; Speaking: Daily Routine
A2,16,IELTS 6.5,Nghe,12,46,54,41,40,29,43,Beginner path,Đọc,Grammar: Past Simple; Speaking: Introductions; Listening: Conversations
A1,30,Phỏng vấn,Nghe,9,30,11,23,33,30,34,IELTS prep,Viết,Listening: Map Labelling; Grammar: Past Simple; Reading: Short Stories
B1,31,Phỏng vấn,App,1,51,76,57,60,48,35,General English,Nghe,Speaking: Introductions; Speaking: Daily Routine; Writing: Email Format
A2,30,Phỏng vấn,App,8,43,50,44,45,58,44,Conversation intensive,Ngữ pháp,Listening: Map Labelling; Vocabulary: Work; Reading: Short Stories
B1,18,IELTS 6.5,App,7,57,59,61,57,64,57,IELTS prep,Viết,Grammar: Present Perfect; Reading: News Articles; Speaking: Introductions
A1,32,Giao tiếp,Ví dụ,11,37,40,27,21,36,0,Conversation intensive,Từ vựng,Speaking: Daily Routine; Speaking: Introductions; Listening: Map Labelling
A2,27,Giao tiếp,Nghe,3,54,38,64,37,51,48,General English,Từ vựng,Grammar: Present Perfect; Listening: Map Labelling; Reading: Short Stories
B2,25,Phỏng vấn,App,14,75,100,49,82,63,77,IELTS prep,Đọc,Writing: Paragraph Structure; Grammar: Present Perfect; Listening: Map Labelling
B1,31,Giao tiếp,App,1,59,64,67,62,45,50,Beginner path,Ngữ pháp,Listening: Conversations; Listening: Map Labelling; Grammar: Present Perfect
C1,29,Phỏng vấn,Nghe,11,100,100,79,94,100,73,Conversation intensive,Từ vựng,Vocabulary: Travel; Writing: Paragraph Structure; Speaking: Daily Routine
A2,16,Giao tiếp,Ví dụ,7,44,37,60,25,36,52,Beginner path,Nghe,Listening: Map Labelling; Vocabulary: Work; Speaking: Daily Routine
B2,19,Giao tiếp,Ví dụ,9,70,83,60,84,67,78,Conversation intensive,Ngữ pháp,Speaking: Daily Routine; Writing: Email Format; Grammar: Present Perfect
B1,21,Giao tiếp,Đọc,7,89,58,76,69,63,62,IELTS prep,Đọc,Listening: Map Labelling; Speaking: Introductions; Vocabulary: Work
B1,20,IELTS 6.5,Ví dụ,3,63,69,42,43,65,53,Beginner path,Đọc,Grammar: Present Perfect; Vocabulary: Work; Listening: Conversations
B2,27,IELTS 6.5,Đọc,9,75,75,81,80,63,63,IELTS prep,Ngữ pháp,Grammar: Present Perfect; Writing: Email Format; Vocabulary: Work
A2,16,IELTS 6.5,Nghe,5,45,35,24,59,44,47,IELTS prep,Ngữ pháp,Grammar: Past Simple; Vocabulary: Travel; Speaking: Introductions
B2,34,Giao tiếp,Ví dụ,1,50,57,68,91,67,76,General English,Nghe,Listening: Map Labelling; Vocabulary: Work; Listening: Conversations
A2,27,Giao tiếp,Đọc,10,51,43,37,44,44,43,Conversation intensive,Từ vựng,Listening: Conversations; Listening: Map Labelling; Vocabulary: Work
B2,27,IELTS 6.5,Ví dụ,6,77,67,77,71,82,69,Beginner path,Nói,Reading: News Articles; Grammar: Present Perfect; Vocabulary: Work
C1,32,Giao tiếp,Đọc,9,100,100,76,97,93,87,Beginner path,Nghe,Writing: Paragraph Structure; Vocabulary: Travel; Vocabulary: Work
B2,27,Phỏng vấn,Đọc,14,76,84,81,68,56,85,Beginner path,Nói,Speaking: Daily Routine; Grammar: Present Perfect; Writing: Paragraph Structure
C1,28,IELTS 6.5,Ví dụ,6,88,81,92,87,87,100,Conversation intensive,Nghe,Writing: Paragraph Structure; Listening: Map Labelling; Listening: Conversations
A2,33,IELTS 6.5,Nghe,9,38,38,50,34,34,31,Beginner path,Nói,Grammar: Present Perfect; Speaking: Introductions; Listening: Map Labelling
